24,maximumCandies,[19;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[2],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
10,count,[8;]
10,k,[24;]
11,mid,[6;]
5,right,[11;]
5,left,[4;]
6,right,[11;]
6,left,[4;]
7,candies,[21;7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[0],[21;]
7,MaximumCandies.maximumCandies.7:35,[21;7;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[6;]
7,MaximumCandies.maximumCandies.7:68,[7;]
7,MaximumCandies.maximumCandies.7:45,[7;]
7,1915910607[1],[21;]
7,MaximumCandies.maximumCandies.7:52,[7;]
7,MaximumCandies.maximumCandies.7:43,[7;]
7,MaximumCandies.maximumCandies.7:50,[21;7;]
8,candy,[7;]
8,mid,[6;]
8,count,[8;]
